Date,Open,High,Low,Close
02-01-2007, 117.94 , 118.88 , 117.28 , 118.28 
03-01-2007, 117.94 , 119.82 , 116.72 , 119.34 
04-01-2007, 119.83 , 120.77 , 116.74 , 117.28 
05-01-2007, 117.09 , 118.68 , 116.35 , 117.38 
08-01-2007, 117.83 , 117.83 , 113.89 , 114.51 
09-01-2007, 115.10 , 115.34 , 110.50 , 110.85 
10-01-2007, 110.49 , 110.96 , 106.89 , 107.22 
11-01-2007, 108.03 , 109.35 , 106.81 , 108.26 
12-01-2007, 109.64 , 116.64 , 109.45 , 115.62 
15-01-2007, 116.53 , 116.53 , 114.08 , 115.32 
16-01-2007, 118.41 , 118.41 , 113.61 , 114.15 
17-01-2007, 115.01 , 116.43 , 114.46 , 115.35 
18-01-2007, 115.68 , 118.32 , 115.49 , 115.96 
19-01-2007, 120.98 , 120.98 , 114.17 , 115.14 
22-01-2007, 114.92 , 116.24 , 114.92 , 115.54 
23-01-2007, 115.59 , 116.22 , 110.11 , 110.77 
24-01-2007, 110.77 , 111.81 , 108.42 , 110.63 
25-01-2007, 110.89 , 111.43 , 109.68 , 111.00 
29-01-2007, 112.28 , 112.28 , 108.60 , 109.08 
31-01-2007, 109.64 , 111.33 , 106.88 , 107.60 
01-02-2007, 109.26 , 116.05 , 107.16 , 113.51 
02-02-2007, 114.64 , 114.87 , 110.69 , 111.43 
05-02-2007, 110.96 , 113.88 , 110.43 , 112.94 
06-02-2007, 113.69 , 114.17 , 112.30 , 112.89 
07-02-2007, 112.75 , 113.58 , 111.84 , 112.75 
08-02-2007, 112.75 , 115.01 , 112.47 , 113.72 
09-02-2007, 113.79 , 114.61 , 111.25 , 113.19 
12-02-2007, 113.19 , 113.58 , 110.58 , 111.68 
13-02-2007, 111.61 , 113.18 , 109.27 , 110.71 
14-02-2007, 108.50 , 109.44 , 102.39 , 104.00 
15-02-2007, 104.78 , 108.41 , 104.78 , 105.92 
19-02-2007, 106.43 , 107.47 , 105.69 , 106.82 
20-02-2007, 106.82 , 108.01 , 104.26 , 104.52 
21-02-2007, 103.76 , 105.49 , 102.90 , 104.34 
22-02-2007, 104.26 , 104.92 , 100.96 , 101.72 
23-02-2007, 107.09 , 107.09 , 98.22 , 99.84 
26-02-2007, 100.96 , 104.34 , 98.32 , 102.69 
27-02-2007, 102.94 , 108.41 , 100.20 , 100.88 
28-02-2007, 91.67 , 103.60 , 91.66 , 98.30 
01-03-2007, 98.31 , 100.11 , 95.86 , 99.60 
02-03-2007, 97.65 , 101.37 , 93.51 , 94.81 
05-03-2007, 94.26 , 94.64 , 90.11 , 90.82 
06-03-2007, 94.26 , 94.26 , 91.05 , 93.22 
07-03-2007, 94.16 , 94.51 , 89.10 , 90.99 
08-03-2007, 93.31 , 95.39 , 90.87 , 94.29 
09-03-2007, 94.46 , 96.62 , 91.99 , 92.72 
12-03-2007, 93.41 , 94.45 , 91.54 , 91.92 
13-03-2007, 92.37 , 93.36 , 91.16 , 92.50 
14-03-2007, 90.58 , 91.52 , 88.88 , 89.45 
15-03-2007, 90.11 , 91.02 , 86.59 , 87.00 
16-03-2007, 87.28 , 87.72 , 84.74 , 86.20 
19-03-2007, 87.26 , 87.74 , 85.59 , 87.42 
20-03-2007, 87.75 , 90.58 , 87.75 , 89.86 
21-03-2007, 90.11 , 93.25 , 89.27 , 92.74 
22-03-2007, 93.60 , 97.65 , 93.60 , 97.13 
23-03-2007, 97.56 , 98.40 , 95.58 , 96.82 
26-03-2007, 97.18 , 98.11 , 95.11 , 95.64 
28-03-2007, 94.92 , 95.27 , 91.27 , 91.87 
29-03-2007, 91.90 , 94.45 , 90.21 , 93.00 
30-03-2007, 93.42 , 94.64 , 93.06 , 93.83 
02-04-2007, 92.41 , 92.41 , 87.03 , 87.79 
03-04-2007, 87.28 , 89.35 , 86.33 , 87.44 
04-04-2007, 88.57 , 89.62 , 87.33 , 88.30 
05-04-2007, 88.30 , 90.20 , 87.28 , 89.49 
09-04-2007, 89.87 , 93.88 , 89.87 , 93.30 
10-04-2007, 93.60 , 94.21 , 91.05 , 93.52 
11-04-2007, 93.41 , 94.63 , 92.20 , 92.60 
12-04-2007, 92.28 , 92.28 , 90.60 , 91.33 
